# AFGL (1986) US Standard atmosphere — water vapour profile (model 6).
# Source: Anderson, Clough, Kneizys, Chetwynd, Shettle (1986), AFGL Atmospheric Constituent
#   Profiles (0-120 km), AFGL-TR-86-0110 (Env. Research Papers No. 954), Table 1f.
#   Electronic CSV via github.com/rayference/afgl1986 (tables/1f.csv), retrieved 2026-07-07.
# USSA 1976 is a DRY atmosphere; this AFGL companion supplies the H2O profile the CH4 LUT
#   background transmittance needs (per-layer H2O columns by integrating vmr over each
#   equal-mass layer's pressure span). z in km; p in mb (hPa); T in K; h2o_vmr in ppmv.
z_km,p_mb,t_k,h2o_vmr_ppmv
0.000,1.0130e+03,288.20,7.7500e+03
1.000,8.9880e+02,281.70,6.0700e+03
2.000,7.9500e+02,275.20,4.6300e+03
3.000,7.0120e+02,268.70,3.1800e+03
4.000,6.1660e+02,262.20,2.1600e+03
5.000,5.4050e+02,255.70,1.4000e+03
6.000,4.7220e+02,249.20,9.2500e+02
7.000,4.1110e+02,242.70,5.7200e+02
8.000,3.5650e+02,236.20,3.6700e+02
9.000,3.0800e+02,229.70,1.5800e+02
10.000,2.6500e+02,223.30,7.0000e+01
11.000,2.2700e+02,216.80,3.6100e+01
12.000,1.9400e+02,216.70,1.9100e+01
13.000,1.6580e+02,216.70,1.0900e+01
14.000,1.4170e+02,216.70,5.9300e+00
15.000,1.2110e+02,216.70,5.0000e+00
16.000,1.0350e+02,216.70,3.9500e+00
17.000,8.8500e+01,216.70,3.8500e+00
18.000,7.5650e+01,216.70,3.8300e+00
19.000,6.4670e+01,216.70,3.8500e+00
20.000,5.5290e+01,216.70,3.9000e+00
21.000,4.7290e+01,217.60,3.9800e+00
22.000,4.0470e+01,218.60,4.0700e+00
23.000,3.4670e+01,219.60,4.2000e+00
24.000,2.9720e+01,220.60,4.3000e+00
25.000,2.5490e+01,221.60,4.4300e+00
27.500,1.7430e+01,224.00,4.5800e+00
30.000,1.1970e+01,226.50,4.7300e+00
32.500,8.0100e+00,230.00,4.8200e+00
35.000,5.7460e+00,236.50,4.9000e+00
37.500,4.1500e+00,242.90,4.9500e+00
40.000,2.8710e+00,250.40,5.0300e+00
42.500,2.0600e+00,257.30,5.1500e+00
45.000,1.4910e+00,264.20,5.2300e+00
47.500,1.0900e+00,270.60,5.2500e+00
50.000,7.9780e-01,270.70,5.2300e+00
55.000,4.2500e-01,260.80,5.1000e+00
60.000,2.1900e-01,247.00,4.7500e+00
65.000,1.0900e-01,233.30,4.2000e+00
70.000,5.2200e-02,219.60,3.5000e+00
75.000,2.4000e-02,208.40,2.8300e+00
80.000,1.0500e-02,198.60,2.0500e+00
85.000,4.4600e-03,188.90,1.3300e+00
90.000,1.8400e-03,186.90,8.5000e-01
95.000,7.6000e-04,188.40,5.4000e-01
100.000,3.2000e-04,195.10,4.0000e-01
105.000,1.4500e-04,208.80,3.4000e-01
110.000,7.1000e-05,240.00,2.8000e-01
115.000,4.0100e-05,300.00,2.4000e-01
120.000,2.5400e-05,360.00,2.0000e-01
