# Sentinel-2 MSI B11/B12 spectral response functions (S2A + S2B), normalized.
# Source: ESA "Sentinel-2 Spectral Response Functions (S2-SRF)",
#   document COPE-GSEG-EOPG-TN-15-0007, issue 3.2 (2022-... , 10 Oct 2023 rev).
#   Downloaded from SentiWiki (sentiwiki.copernicus.eu/web/s2-documents) on 2026-07-06.
# Extracted from sheets 'Spectral Responses (S2A/S2B)', columns SR_WL, *_B11, *_B12.
# Rows restricted to wavelengths where any B11/B12 response is nonzero.
# wavelength in nm; response dimensionless (already normalized to peak 1 by ESA).
wavelength_nm,s2a_b11,s2a_b12,s2b_b11,s2b_b12
1538,0,0,1.154e-05,0
1539,6.79e-06,0,2.707e-05,0
1540,6.66e-06,0,8.129e-05,0
1541,8e-06,0,0.0001701,0
1542,2.734e-05,0,0.00027422,0
1543,3.685e-05,0,0.00034456,0
1544,8.851e-05,0,0.00046028,0
1545,0.00014522,0,0.00065214,0
1546,0.00024812,0,0.00082283,0
1547,0.00047627,0,0.00107791,0
1548,0.00056335,0,0.0014306,0
1549,0.00065326,0,0.00196134,0
1550,0.00089835,0,0.00266427,0
1551,0.00114664,0,0.00368682,0
1552,0.00165604,0,0.00522456,0
1553,0.00241611,0,0.00758401,0
1554,0.00350246,0,0.01126335,0
1555,0.00524274,0,0.01715812,0
1556,0.0081538,0,0.02674581,0
1557,0.01237062,0,0.04145595,0
1558,0.0186097,0,0.06300627,0
1559,0.02721853,0,0.09464207,0
1560,0.03879155,0,0.13995799,0
1561,0.05379167,0,0.20105412,0
1562,0.07353187,0,0.28189591,0
1563,0.09932758,0,0.38134665,0
1564,0.1334178,0,0.4907345,0
1565,0.18029249,0,0.60674263,0
1566,0.24484994,0,0.71505301,0
1567,0.32834511,0,0.80391496,0
1568,0.42749961,0,0.87015099,0
1569,0.53576798,0,0.91645643,0
1570,0.64570396,0,0.94668952,0
1571,0.74245998,0,0.96391534,0
1572,0.81447017,0,0.97305962,0
1573,0.85866596,0,0.97704089,0
1574,0.87924777,0,0.97777566,0
1575,0.88665266,0,0.97686717,0
1576,0.888727,0,0.97531356,0
1577,0.89105732,0,0.97336816,0
1578,0.89725046,0,0.9714563,0
1579,0.90632982,0,0.9697157,0
1580,0.91627527,0,0.96907419,0
1581,0.9263751,0,0.96968255,0
1582,0.93515828,0,0.97051178,0
1583,0.94226446,0,0.97272986,0
1584,0.94739906,0,0.97613656,0
1585,0.95131987,0,0.97894419,0
1586,0.95416808,0,0.9810083,0
1587,0.95635128,0,0.98350836,0
1588,0.95813297,0,0.9848292,0
1589,0.96062738,0,0.98438948,0
1590,0.96344083,0,0.98389859,0
1591,0.96577764,0,0.98334634,0
1592,0.96818134,0,0.9814301,0
1593,0.97104025,0,0.97936035,0
1594,0.97343195,0,0.97802641,0
1595,0.97597444,0,0.97623515,0
1596,0.97865413,0,0.97537114,0
1597,0.97994672,0,0.97569131,0
1598,0.98064126,0,0.97679261,0
1599,0.98094979,0,0.97898052,0
1600,0.98143338,0,0.98199689,0
1601,0.98123856,0,0.98520852,0
1602,0.98068083,0,0.98866135,0
1603,0.98033995,0,0.99233425,0
1604,0.98101894,0,0.99480248,0
1605,0.98268503,0,0.99589079,0
1606,0.98507875,0,0.9958911,0
1607,0.98777658,0,0.99475534,0
1608,0.9903608,0,0.99207775,0
1609,0.99202087,0,0.98856394,0
1610,0.9933069,0,0.9848769,0
1611,0.99256744,0,0.98106836,0
1612,0.99044883,0,0.97677436,0
1613,0.98717314,0,0.97351815,0
1614,0.98353656,0,0.97192459,0
1615,0.9800432,0,0.97052192,0
1616,0.97617287,0,0.97043004,0
1617,0.97253451,0,0.9723835,0
1618,0.96977033,0,0.97525347,0
1619,0.96762556,0,0.97856769,0
1620,0.9662626,0,0.98298866,0
1621,0.96572411,0,0.98810437,0
1622,0.96592079,0,0.99268138,0
1623,0.96729798,0,0.99645012,0
1624,0.96975438,0,0.9990686,0
1625,0.97337748,0,1,0
1626,0.97862858,0,0.99902738,0
1627,0.98345358,0,0.99662493,0
1628,0.98765317,0,0.99326995,0
1629,0.9919238,0,0.989647,0
1630,0.99554959,0,0.98577051,0
1631,0.99767411,0,0.98212932,0
1632,0.99866451,0,0.97979728,0
1633,0.99941783,0,0.97946062,0
1634,0.99930984,0,0.980262,0
1635,0.99885298,0,0.98247241,0
1636,0.99913515,0,0.98601349,0
