# TSIS-1 Hybrid Solar Reference Spectrum (HSRS) v1 — B11 + B12 wavelength ranges.
# Source: Coddington et al. 2021, Geophys. Res. Lett. 48, e2020GL091709 (doi:10.1029/2020GL091709).
#   Downloaded from LASP LISIRD (lasp.colorado.edu/lisird/data/tsis1_hsrs) via the LaTiS CSV API
#   on 2026-07-07. Ranges: 1530-1690 nm (B11) and 2070-2330 nm (B12); native 0.001 nm resolution
#   decimated to ~0.02 nm here (the CH4 fine structure comes from HITRAN, not the solar envelope).
# irradiance is solar spectral irradiance E_lambda in W/m^2/nm at 1 AU. The LUT generator converts
#   the SHAPE to per-wavenumber E_nu via the lambda^2 Jacobian (E_nu ∝ E_lambda·lambda^2) before use.
# wavelength in nm; irradiance in W m^-2 nm^-1.
wavelength_nm,irradiance_w_m2_nm
1530.000,2.694877e-01
1530.020,2.636421e-01
1530.040,2.592791e-01
1530.060,2.716450e-01
1530.080,2.741035e-01
1530.100,2.708720e-01
1530.120,2.734795e-01
1530.140,2.693437e-01
1530.160,2.766925e-01
1530.180,2.789292e-01
1530.200,2.795667e-01
1530.220,2.798640e-01
1530.240,2.799300e-01
1530.260,2.786845e-01
1530.280,2.792732e-01
1530.300,2.802946e-01
1530.320,2.804040e-01
1530.340,2.804519e-01
1530.360,2.804855e-01
1530.380,2.805119e-01
1530.400,2.805327e-01
1530.420,2.805434e-01
1530.440,2.805431e-01
1530.460,2.804967e-01
1530.480,2.798416e-01
1530.500,2.793548e-01
1530.520,2.797722e-01
1530.540,2.774279e-01
1530.560,2.608045e-01
1530.580,2.451942e-01
1530.600,2.729515e-01
1530.620,2.791922e-01
1530.640,2.801823e-01
1530.660,2.804304e-01
1530.680,2.805127e-01
1530.700,2.805414e-01
1530.720,2.805509e-01
1530.740,2.805515e-01
1530.760,2.804899e-01
1530.780,2.795666e-01
1530.800,2.791300e-01
1530.820,2.803677e-01
1530.840,2.804823e-01
1530.860,2.804443e-01
1530.880,2.803701e-01
1530.900,2.802127e-01
1530.920,2.797538e-01
1530.940,2.765727e-01
1530.960,2.680512e-01
1530.980,2.587672e-01
1531.000,2.725921e-01
1531.020,2.785965e-01
1531.040,2.798133e-01
1531.060,2.801657e-01
1531.080,2.802977e-01
1531.100,2.803383e-01
1531.120,2.779996e-01
1531.140,2.794384e-01
1531.160,2.803848e-01
1531.180,2.803833e-01
1531.200,2.803786e-01
1531.220,2.803713e-01
1531.240,2.803653e-01
1531.260,2.803536e-01
1531.280,2.800512e-01
1531.300,2.749371e-01
1531.320,2.754588e-01
1531.340,2.800920e-01
1531.360,2.803069e-01
1531.380,2.799181e-01
1531.400,2.790272e-01
1531.420,2.802071e-01
1531.440,2.802802e-01
1531.460,2.802565e-01
1531.480,2.796266e-01
1531.500,2.792208e-01
1531.520,2.801769e-01
1531.540,2.799709e-01
1531.560,2.791335e-01
1531.580,2.790144e-01
1531.600,2.788460e-01
1531.620,2.801626e-01
